Id;Year;Edition;Film;Won;Nominees;Record;Writer;Age (in years);Ref.
3;1940;13;Foreign Correspondent;False;;;;;
268;1994;67;Four Weddings and a Funeral;False;Richard Curtis;;;;
368;2014;87;Foxcatcher;False;E. Max Frye & Dan Futterman;;;;
107;1962;35;Freud;False;Screenplay: Charles Kaufman & Wolfgang Reinhardt;;;;
337;2008;81;Frozen River;False;Courtney Hunt;;;;
82;1957;30;Funny Face;False;Leonard Gershe;;;;
206;1982;55;Gandhi;True;John Briley‡;;;;
308;2002;75;Gangs of New York;False;Screenplay: Jay Cocks, Kenneth Lonergan & Steven Zaillian;;;;
103;1961;34;General Della Rovere;False;Sergio Amidei, Diego Fabbi & Indro Montanelli;;;;
68;1954;27;Genevieve;False;William Rose;;;;
381;2017;90;Get Out;True;Jordan Peele‡;;;;
246;1990;63;Ghost;True;Bruce Joel Rubin‡;;;;
299;2000;73;Gladiator;False;Screenplay: David Franzoni, John Logan & William Nicholson;;;;
54;1951;24;Go for Broke!;False;Robert Pirosh;;;;
322;2005;78;Good Night, and Good Luck;False;George Clooney & Grant Heslov;;;;
281;1997;70;Good Will Hunting;True;Ben Affleck & Matt Damon‡;;;;
419;;;Good Will Hunting;False;;Youngest winner;Ben Affleck;25.0;[95]
301;2001;74;Gosford Park;True;Julian Fellowes‡;;;;
255;1991;64;Grand Canyon;False;Lawrence Kasdan & Meg Kasdan;;;;
386;2018;91;Green Book;True;Brian Currie, Peter Farrelly & Nick Vallelonga‡;;;;
249;1990;63;Green Card;False;Peter Weir;;;;
131;1967;40;Guess Who's Coming to Dinner;True;William Rose‡;;;;
21;1944;17;Hail the Conquering Hero;False;;;;;
226;1986;59;Hannah and Her Sisters;True;Woody Allen‡;;;;
338;2008;81;Happy-Go-Lucky;False;Mike Leigh;;;;
170;1974;47;Harry and Tonto;False;Josh Greenfeld & Paul Mazursky;;;;
269;1994;67;Heavenly Creatures;False;Peter Jackson & Frances Walsh;;;;
377;2016;89;Hell or High Water;False;Taylor Sheridan;;;;
361;2013;86;Her;True;Spike Jonze‡;;;;
99;1960;33;Hiroshima, Mon Amour;False;Marguerite Duras;;;;
234;1987;60;Hope and Glory;False;John Boorman;;;;
