Id;Year;Edition;Film;Nominees;Won
69;1945;18;They Were Expendable;A. Arnold Gillespie, Donald Jahraus, and Robert A. MacDonald (photographic);
58;1944;17;Thirty Seconds Over Tokyo;A. Arnold Gillespie, Donald Jahraus, and Warren Newcombe (photographic);
128;1965;38;Thunderball;John Stears;True
230;1997;70;Titanic;Robert Legato, Mark Lasoff, Thomas L. Fisher, and Michael Kanfer;True
135;1967;40;Tobruk;Howard A. Anderson Jr. and Albert Whitlock;False
107;1958;31;Tom Thumb;Tom Howard (visual);True
358;2022;95;Top Gun: Maverick;Ryan Tudhope, Seth Hill, Bryan Litson, and Scott R. Fisher;False
37;1941;14;Topper Returns;Roy Seawright (photographic);
11;1939;12;Topper Takes a Trip;Roy Seawright (photographic);False
143;1970;43;Tora! Tora! Tora!;A. D. Flowers and L. B. Abbott;True
108;1958;31;Torpedo Run;A. Arnold Gillespie (visual);
205;1990;63;Total Recall [note 3];Eric Brevig, Rob Bottin, Tim McGovern, and Alex Funke;False
272;2007;80;Transformers;Scott Farrar, Scott Benza, Russell Earl, and John Frazier;False
292;2011;84;Transformers: Dark of the Moon;Scott Farrar, Scott Benza, Matthew E. Butler, and John Frazier;False
221;1994;67;True Lies;John Bruno, Thomas L. Fisher, Jacques Stroweis, and Patrick McClung;False
82;1949;22;Tulsa;Walter Wanger Pictures;False
228;1996;69;Twister;Stefen Fangmeier, John Frazier, Habib Zargarpour, and Henry La Bounta;False
27;1940;13;Typhoon;Farciot Edouart and Gordon Jennings (photographic);
76;1947;20;Unconquered;Farciot Edouart, Devereux Jennings, Gordon Jennings, W. Wallace Kelley, and Paul Lerpae (visual);
12;1939;12;Union Pacific;Farciot Edouart and Gordon Jennings (photographic);
328;2017;90;War for the Planet of the Apes;Joe Letteri, Daniel Barrett, Dan Lemmon, and Joel Whist;False
264;2005;78;War of the Worlds;Dennis Muren, Pablo Helman, Randal M. Dutra, and Dan Sudick;False
234;1998;71;What Dreams May Come;Joel Hynek, Nicholas Brooks, Stuart Robertson, and Kevin Mack;True
147;1971;44;When Dinosaurs Ruled the Earth;Jim Danforth and Roger Dicken;False
87;1951;24;When Worlds Collide [note 3];Paramount;False
197;1988;61;Who Framed Roger Rabbit;Ken Ralston, Richard Williams, Edward Jones, and George Gibbs;True
199;1988;61;Willow;Dennis Muren, Michael J. McAlister, Phil Tippett, and Chris Evans;False
64;1944;17;Wilson;Fred Sersen (photographic);
1;1927;1;Wings;Roy Pomeroy;True
28;1940;13;Women in War;Howard J. Lydecker, William Bradford, and Ellis J. Thackery (photographic);
66;1945;18;Wonder Man;John P. Fulton (photographic);
310;2014;87;X-Men: Days of Future Past;Richard Stammers, Lou Pecora, Tim Crosbie, and Cameron Waldbauer;False
188;1985;58;Young Sherlock Holmes;Dennis Muren, Kit West, John R. Ellis, and David W. Allen;False
