id;Year;Edition;Film;Art director(s);Won;Interior decorator(s);Set decorator(s);Production designer(s)
222;1951;24;Color;Color;False;;Color;
224;1951;24;David and Bathsheba;George Davis and Lyle R. Wheeler;False;;Paul S. Fox and Thomas Little;
218;1951;24;Fourteen Hours;Leland Fuller and Lyle R. Wheeler;False;;Thomas Little and Fred J. Rode;
220;1951;24;La Ronde;D'Eaubonne;False;;;
225;1951;24;On the Riviera;Leland Fuller, Lyle R. Wheeler and Joseph C. Wright (musical settings);False;;Thomas Little and Walter M. Scott;
226;1951;24;Quo Vadis;Edward Carfagno, Cedric Gibbons and William A. Horning;False;;Hugh Hunt;
219;1951;24;The House on Telegraph Hill;John DeCuir and Lyle R. Wheeler;False;;Paul S. Fox and Thomas Little;
227;1951;24;The Tales of Hoffmann;Hein Heckroth;False;;;
221;1951;24;Too Young to Kiss;Cedric Gibbons and Paul Groesse;False;;Edwin B. Willis and Jack D. Moore;
228;1952;25;Black-and-White;Black-and-White;False;;Black-and-White;
230;1952;25;Carrie;Roland Anderson and Hal Pereira;False;;Emile Kuri;
234;1952;25;Color;Color;False;;Color;
236;1952;25;Hans Christian Andersen;Clavé and Richard Day;False;;Howard Bristol;
235;1952;25;Moulin Rouge;Paul Sheriff;True;;Marcel Vertès;
231;1952;25;My Cousin Rachel;John DeCuir and Lyle R. Wheeler;False;;Walter M. Scott;
232;1952;25;Rashomon;So Matsuyama;False;;H. Motsumoto;
229;1952;25;The Bad and the Beautiful;Edward Carfagno and Cedric Gibbons;True;;F. Keogh Gleason and Edwin B. Willis;
237;1952;25;The Merry Widow;Cedric Gibbons and Paul Groesse;False;;Arthur Krams and Edwin B. Willis;
238;1952;25;The Quiet Man;Frank Hotaling;False;;John McCarthy Jr. and Charles S. Thompson;
239;1952;25;The Snows of Kilimanjaro;John DeCuir and Lyle R. Wheeler;False;;Paul S. Fox and Thomas Little;
233;1952;25;Viva Zapata!;Leland Fuller and Lyle R. Wheeler;False;;Claude E. Carpenter and Thomas Little;
240;1953;26;Black-and-White;Black-and-White;False;;Black-and-White;
246;1953;26;Color;Color;False;;Color;
241;1953;26;Julius Caesar;Edward Carfagno and Cedric Gibbons;True;;Hugh Hunt and Edwin B. Willis;
248;1953;26;Knights of the Round Table;Alfred Junge and Hans Peters;False;;John Jarvis;
249;1953;26;Lili;Cedric Gibbons and Paul Groesse;False;;Arthur Krams and Edwin B. Willis;
242;1953;26;Martin Luther;Paul Markwitz and Fritz Maurischat;False;;;
244;1953;26;Roman Holiday;Hal Pereira and Walter H. Tyler;False;;;
243;1953;26;The President's Lady;Leland Fuller and Lyle R. Wheeler;False;;Paul S. Fox;
247;1953;26;The Robe;George Davis and Lyle R. Wheeler;True;;Paul S. Fox and Walter M. Scott;
250;1953;26;The Story of Three Loves;E. Preston Ames, Edward Carfagno, Cedric Gibbons and Gabriel Scognamillo;False;;F. Keogh Gleason, Arthur Krams, Jack D. Moore and Edwin B. Willis;
245;1953;26;Titanic;Maurice Ransford and Lyle R. Wheeler;False;;Stuart Reiss;
251;1953;26;Young Bess;Cedric Gibbons and Urie McCleary;False;;Jack D. Moore and Edwin B. Willis;
259;1954;27;20,000 Leagues Under the Sea;John Meehan;True;;Emile Kuri;
263;1954;27;A Star Is Born;Malcolm Bert and Gene Allen;False;;Irene Sharaff and George James Hopkins;
252;1954;27;Black-and-White;Black-and-White;False;;Black-and-White;
260;1954;27;Brigadoon;Cedric Gibbons and E. Preston Ames;False;;Edwin B. Willis and F. Keogh Gleason;
258;1954;27;Color;Color;False;;Color;
261;1954;27;Desiree;Lyle R. Wheeler and Leland Fuller;False;;Walter M. Scott and Paul S. Fox;
255;1954;27;Executive Suite;Cedric Gibbons and Edward Carfagno;False;;Edwin B. Willis and Emile Kuri;
256;1954;27;Le Plaisir;Max Ophüls;False;;;
253;1954;27;On the Waterfront;Richard Day;True;;;
262;1954;27;Red Garters;Hal Pereira and Roland Anderson;False;;Samuel M. Comer and Ray Moyer;
257;1954;27;Sabrina;Hal Pereira and Walter H. Tyler;False;;Samuel M. Comer and Ray Moyer;
254;1954;27;The Country Girl;Roland Anderson and Hal Pereira;False;;Samuel M. Comer and Grace Gregory;
264;1955;28;Black-and-White;Black-and-White;False;;Black-and-White;
266;1955;28;Blackboard Jungle;Cedric Gibbons and Randall Duell;False;;Edwin B. Willis and Henry Grace;
270;1955;28;Color;Color;False;;Color;
272;1955;28;Daddy Long Legs;Lyle R. Wheeler and John DeCuir;False;;Walter M. Scott and Paul S. Fox;
273;1955;28;Guys and Dolls;Oliver Smith and Joseph C. Wright;False;;Howard Bristol;
267;1955;28;I'll Cry Tomorrow;Cedric Gibbons and Malcolm Brown;False;;Edwin B. Willis and Hugh Hunt;
274;1955;28;Love Is a Many-Splendored Thing;Lyle R. Wheeler and George Davis;False;;Walter M. Scott and Jack Stubbs;
269;1955;28;Marty;Edward S. Haworth and Walter M. Simonds;False;;Robert Priestley;
271;1955;28;Picnic;William Flannery;True;;Jo Mielziner and Robert Priestley;
268;1955;28;The Man with the Golden Arm;Joseph C. Wright;False;;Darrell Silvera;
265;1955;28;The Rose Tattoo;Hal Pereira and Tambi Larsen;True;;Samuel M. Comer and Arthur Krams;
275;1955;28;To Catch a Thief;Hal Pereira and Joseph McMillan Johnson;False;;Samuel M. Comer and Arthur Krams;
284;1956;29;Around the World in 80 Days;James W. Sullivan and Ken Adam;False;;Ross J. Dowd;
276;1956;29;Black-and-White;Black-and-White;False;;Black-and-White;
282;1956;29;Color;Color;False;;Color;
285;1956;29;Giant;Boris Leven;False;;Ralph S. Hurst;
286;1956;29;Lust for Life;Cedric Gibbons and Hans Peters and E. Preston Ames;False;;Edwin B. Willis and F. Keogh Gleason;
278;1956;29;Seven Samurai;So Matsuyama;False;;;
277;1956;29;Somebody Up There Likes Me;Cedric Gibbons and Malcolm Brown;True;;Edwin B. Willis and F. Keogh Gleason;
281;1956;29;Teenage Rebel;Lyle R. Wheeler and Jack Martin Smith;False;;Walter M. Scott and Stuart A. Reiss;
283;1956;29;The King and I;Lyle R. Wheeler and John DeCuir;True;;Walter M. Scott and Paul S. Fox;
279;1956;29;The Proud and Profane;Hal Pereira and A. Earl Hedrick;False;;Samuel M. Comer and Frank R. McKelvy;
280;1956;29;The Solid Gold Cadillac;Ross Bellah;False;;William Kiernan and Louis Diage;
287;1956;29;The Ten Commandments;Walter H. Tyler and Albert Nozaki;False;;Samuel M. Comer and Ray Moyer;
290;1957;30;Funny Face;Hal Pereira and George Davis;False;;Samuel M. Comer and Ray Moyer;
291;1957;30;Les Girls;William A. Horning and Gene Allen;False;;Edwin B. Willis and Richard Pefferle;
292;1957;30;Pal Joey;Walter Holscher;False;;William Kiernan and Louis Diage;
293;1957;30;Raintree County;William A. Horning and Urie McCleary;False;;Edwin B. Willis and Hugh Hunt;
289;1957;30;Sayonara;Ted Haworth;True;;Robert Priestley;
298;1958;31;A Certain Smile;Lyle R. Wheeler and John DeCuir;False;;Walter M. Scott and Paul S. Fox;
296;1958;31;Auntie Mame;Malcolm Bert;False;;George James Hopkins;
297;1958;31;Bell, Book and Candle;Cary Odell;False;;Louis Diage;
295;1958;31;Gigi;William A. Horning (posthumous award) and E. Preston Ames;True;;Henry Grace and F. Keogh Gleason;
299;1958;31;Vertigo;Hal Pereira and Henry Bumstead;False;;Samuel M. Comer and Frank McKelvy;
307;1959;32;Ben-Hur;William A. Horning (posthumous award) and Edward Carfagno;True;;Hugh Hunt;
300;1959;32;Black-and-White;Black-and-White;False;;Black-and-White;
302;1959;32;Career;Hal Pereira and Walter H. Tyler;False;;Samuel M. Comer and Arthur Krams;
306;1959;32;Color;Color;False;;Color;
309;1959;32;Journey to the Center of the Earth;Lyle R. Wheeler, Franz Bachelin and Herman A. Blumenthal;False;;Walter M. Scott and Joseph Kish;
310;1959;32;North by Northwest;William A. Horning (posthumous nomination), Robert F. Boyle and Merrill Pye;False;;Henry Grace and Frank McKelvy;
311;1959;32;Pillow Talk;Richard H. Riedel (posthumous nomination);False;;Russell A. Gausman and Ruby R. Levitt;
304;1959;32;Some Like It Hot;Ted Haworth;False;;Edward G. Boyle;
305;1959;32;Suddenly, Last Summer;Oliver Messel and William Kellner;False;;Scott Slimon;
308;1959;32;The Big Fisherman;John DeCuir;False;;Julia Heron;
301;1959;32;The Diary of Anne Frank;Lyle R. Wheeler and George Davis;True;;Walter M. Scott and Stuart A. Reiss;
303;1959;32;The Last Angry Man;Carl Anderson;False;;William Kiernan;
312;1960;33;Black-and-White;Black-and-White;False;;Black-and-White;
320;1960;33;Cimarron;George Davis and Addison Hehr;False;;Henry Grace, Hugh Hunt and Otto Siegel;
318;1960;33;Color;Color;False;;Color;
321;1960;33;It Started in Naples;Hal Pereira and Roland Anderson;False;;Samuel M. Comer and Arrigo Breschi;
322;1960;33;Pepe;Ted Haworth;False;;William Kiernan;
315;1960;33;Psycho;Joseph Hurley and Robert Clatworthy;False;;George Milo;
316;1960;33;Sons and Lovers;Tom Morahan;False;;Lionel Couch;
319;1960;33;Spartacus;Alexander Golitzen and Eric Orbom;True;;Russell A. Gausman and Julia Heron;
323;1960;33;Sunrise at Campobello;Edward Carrere;False;;George James Hopkins;
313;1960;33;The Apartment;Alexandre Trauner;True;;Edward G. Boyle;
314;1960;33;The Facts of Life;Joseph McMillan Johnson and Kenneth A. Reid;False;;Ross Dowd;
317;1960;33;Visit to a Small Planet;Hal Pereira and Walter Tyler;False;;Samuel M. Comer and Arthur Krams;
324;1961;34;Black-and-White;Black-and-White;False;;Black-and-White;
332;1961;34;Breakfast at Tiffany's;Hal Pereira and Roland Anderson;False;;Samuel M. Comer and Ray Moyer;
330;1961;34;Color;Color;False;;Color;
333;1961;34;El Cid;Veniero Colasanti and John Moore;False;;;
334;1961;34;Flower Drum Song;Alexander Golitzen and Joseph C. Wright;False;;Howard Bristol;
328;1961;34;Judgment at Nuremberg;Rudolph Sternad;False;;George Milo;
329;1961;34;La Dolce Vita;Piero Gherardi;False;;;
335;1961;34;Summer and Smoke;Hal Pereira and Walter Tyler;False;;Samuel M. Comer and Arthur Krams;
326;1961;34;The Absent-Minded Professor;Carroll Clark;False;;Emile Kuri and Hal Gausman;
327;1961;34;The Children's Hour;Fernando Carrere;False;;Edward G. Boyle;
325;1961;34;The Hustler;Harry Horner;True;;Gene Callahan;
331;1961;34;West Side Story;Boris Leven;True;;Victor A. Gangelin;
336;1962;35;Black-and-White;Black-and-White;False;;Black-and-White;
342;1962;35;Color;Color;False;;Color;
338;1962;35;Days of Wine and Roses;Joseph C. Wright;False;;George James Hopkins;
343;1962;35;Lawrence of Arabia;John Box and John Stoll;True;;Dario Simoni;
345;1962;35;Mutiny on the Bounty;George Davis and Joseph McMillan Johnson;False;;Henry Grace and Hugh Hunt;
340;1962;35;Period of Adjustment;George Davis and Edward Carfagno;False;;Henry Grace and Richard Pefferle;
346;1962;35;That Touch of Mink;Alexander Golitzen and Robert Clatworthy;False;;George Milo;
339;1962;35;The Longest Day;Ted Haworth, Léon Barsacq and Vincent Korda;False;;Gabriel Béchir;
344;1962;35;The Music Man;Paul Groesse;False;;George James Hopkins;
341;1962;35;The Pigeon That Took Rome;Hal Pereira and Roland Anderson;False;;Samuel M. Comer and Frank R. McKelvy;
347;1962;35;The Wonderful World of the Brothers Grimm;George Davis and Edward Carfagno;False;;Henry Grace and Richard Pefferle;
337;1962;35;To Kill a Mockingbird;Alexander Golitzen and Henry Bumstead;True;;Oliver Emert;
350;1963;36;8½;Piero Gherardi;False;;;
349;1963;36;America America;Gene Callahan;True;;;
348;1963;36;Black-and-White;Black-and-White;False;;Black-and-White;
355;1963;36;Cleopatra;John DeCuir, Jack Martin Smith, Hilyard M. Brown, Herman A. Blumenthal, Elven Webb, Maurice Pelling and Boris Juraga;True;;Walter M. Scott, Paul S. Fox and Ray Moyer;
354;1963;36;Color;Color;False;;Color;
357;1963;36;Come Blow Your Horn;Hal Pereira and Roland Anderson;False;;Samuel M. Comer and James W. Payne;
358;1963;36;How the West Was Won;George Davis, William Ferrari (posthumous nomination) and Addison Hehr;False;;Henry Grace, Don Greenwood Jr. and Jack Mills;
351;1963;36;Hud;Hal Pereira and Tambi Larsen;False;;Samuel M. Comer and Robert R. Benton;
352;1963;36;Love with the Proper Stranger;Hal Pereira and Roland Anderson;False;;Samuel M. Comer and Grace Gregory;
356;1963;36;The Cardinal;Lyle R. Wheeler;False;;Gene Callahan;
359;1963;36;Tom Jones;Ralph W. Brinton, Jocelyn Herbert, and Ted Marshall;False;;Josie MacAvin;
353;1963;36;Twilight of Honor;George Davis and Paul Groesse;False;;Henry Grace and Hugh Hunt;
368;1964;37;Becket;John Bryan and Maurice Carter;False;;Patrick McLoughlin and Robert Cartwright;
360;1964;37;Black-and-White;Black-and-White;False;;Black-and-White;
366;1964;37;Color;Color;False;;Color;
363;1964;37;Hush...Hush, Sweet Charlotte;William Glasgow;False;;Raphaël Bretton;
369;1964;37;Mary Poppins;Carroll Clark and William H. Tuntke;False;;Emile Kuri and Hal Gausman;
367;1964;37;My Fair Lady;Gene Allen and Cecil Beaton;True;;George James Hopkins;
365;1964;37;Seven Days in May;Cary Odell;False;;Edward G. Boyle;
362;1964;37;The Americanization of Emily;George Davis, Hans Peters and Elliot Scott;False;;Henry Grace and Robert R. Benton;
364;1964;37;The Night of the Iguana;Stephen B. Grimes;False;;;
370;1964;37;The Unsinkable Molly Brown;George Davis and E. Preston Ames;False;;Henry Grace and Hugh Hunt;
371;1964;37;What a Way to Go!;Jack Martin Smith and Ted Haworth;False;;Walter M. Scott and Stuart A. Reiss;
361;1964;37;Zorba the Greek;Vassilis Photopoulos;True;;;
375;1965;38;A Patch of Blue;George Davis and Urie McCleary;False;;Henry Grace and Charles S. Thompson;
372;1965;38;Black-and-White;Black-and-White;False;;Black-and-White;
378;1965;38;Color;Color;False;;Color;
379;1965;38;Doctor Zhivago;John Box and Terence Marsh;True;;Dario Simoni;
382;1965;38;Inside Daisy Clover;Robert Clatworthy;False;;George James Hopkins;
374;1965;38;King Rat;Robert Emmet Smith;False;;Frank Tuttle;
373;1965;38;Ship of Fools;Robert Clatworthy;True;;Joseph Kish;
380;1965;38;The Agony and the Ecstasy;John DeCuir and Jack Martin Smith;False;;Dario Simoni;
381;1965;38;The Greatest Story Ever Told;Richard Day, William Creber and David S. Hall (posthumous nomination);False;;Ray Moyer and Fred M. MacLean and Norman Rockett;
376;1965;38;The Slender Thread;Hal Pereira and Jack Poplin;False;;Robert R. Benton and Joseph Kish;
383;1965;38;The Sound of Music;Boris Leven;False;;Walter M. Scott and Ruby Levitt;
377;1965;38;The Spy Who Came In from the Cold;Hal Pereira and Tambi Larsen;False;;Ted Marshall and Josie MacAvin;
384;1966;39;Black-and-White;Black-and-White;False;;Black-and-White;
390;1966;39;Color;Color;False;;Color;
391;1966;39;Fantastic Voyage;Jack Martin Smith and Dale Hennesy;True;;Walter M. Scott and Stuart A. Reiss;
392;1966;39;Gambit;Alexander Golitzen and George C. Webb;False;;John McCarthy Jr. and John P. Austin;
388;1966;39;Is Paris Burning?;Willy Holt;False;;Marc Frédérix and Pierre Guffroy;
393;1966;39;Juliet of the Spirits;Piero Gherardi;False;;;
389;1966;39;Mister Buddwing;George Davis and Paul Groesse;False;;Henry Grace and Hugh Hunt;
386;1966;39;The Fortune Cookie;Robert Luthardt;False;;Edward G. Boyle;
387;1966;39;The Gospel According to St. Matthew;Luigi Scaccianoce;False;;;
394;1966;39;The Oscar;Hal Pereira and Arthur Lonergan;False;;Robert R. Benton and James W. Payne;
395;1966;39;The Sand Pebbles;Boris Leven;False;;Walter M. Scott, John Sturtevant and William Kiernan;
385;1966;39;Who's Afraid of Virginia Woolf?;Richard Sylbert;True;;George James Hopkins;
397;1967;40;Camelot;John Truscott and Edward Carrere;True;;John W. Brown;
398;1967;40;Doctor Dolittle;Mario Chiari, Jack Martin Smith and Ed Graves;False;;Walter M. Scott and Stuart A. Reiss;
399;1967;40;Guess Who's Coming to Dinner;Robert Clatworthy;False;;Frank Tuttle;
400;1967;40;The Taming of the Shrew;Renzo Mongiardino, John DeCuir, Elven Webb and Giuseppe Mariani;False;;Dario Simoni and Luigi Gervasi;
401;1967;40;Thoroughly Modern Millie;Alexander Golitzen and George C. Webb;False;;Howard Bristol;
404;1968;41;2001: A Space Odyssey;Anthony Masters, Harry Lange and Ernest Archer;False;;;
403;1968;41;Oliver!;John Box and Terence Marsh;True;;Vernon Dixon and Ken Muggleston;
406;1968;41;Star!;Boris Leven;False;;Walter M. Scott and Howard Bristol;
405;1968;41;The Shoes of the Fisherman;George Davis and Edward Carfagno;False;;;
407;1968;41;War and Peace;Mikhail Bogdanov and Gennady Myasnikov;False;;Georgi Koshelev and Vladimir Uvarov;
410;1969;42;Anne of the Thousand Days;Maurice Carter and Lionel Couch;False;;Patrick McLoughlin;
411;1969;42;Gaily, Gaily;Robert F. Boyle and George B. Chan;False;;Edward G. Boyle and Carl Biddiscombe;
409;1969;42;Hello, Dolly!;John DeCuir, Jack Martin Smith and Herman A. Blumenthal;True;;Walter M. Scott, George James Hopkins and Raphaël Bretton;
412;1969;42;Sweet Charity;Alexander Golitzen and George C. Webb;False;;Jack D. Moore;
