id;Year;Edition;Film;Song;Nominees;Won
415;1997;70;Good Will Hunting;Miss Misery;Elliott Smith (music & lyrics);False
132;1950;23;Captain Carey, U.S.A.;Mona Lisa;Ray Evans & Jay Livingston (music & lyrics);True
198;1961;34;Breakfast at Tiffany's;Moon River;Henry Mancini (music);
403;1995;68;Sabrina;Moonlight;John Williams (music);
97;1945;18;Can't Help Singing;More and More;Jerome Kern (p.n.) (music);
214;1963;36;Mondo Cane;More;Nino Oliviero & Riz Ortolani (music);
134;1950;23;Singing Guns;Mule Train;Fred Glickman, Hy Heath & Johnny Lange (music & lyrics);False
426;1999;72;Music of the Heart;Music of My Heart;Diane Warren (music & lyrics);False
154;1953;26;Small Town Girl;My Flaming Heart;Slug Brodszky (music);
129;1949;22;My Foolish Heart;My Foolish Heart;Victor Young (music);
433;2000;73;The Emperor's New Groove;My Funny Friend and Me;David Hartley & Sting (music);
412;1997;70;Titanic;My Heart Will Go On;James Horner (music);
219;1964;37;Robin and the 7 Hoods;My Kind of Town;Jimmy Van Heusen (music);
30;1938;11;That Certain Age;My Own;Jimmy McHugh (music);
74;1943;16;The Sky's the Limit;My Shining Hour;Arlen (music);
232;1966;39;Hawaii;My Wishing Doll;Elmer Bernstein (music);
524;2017;90;Call Me by Your Name;Mystery of Love;Sufjan Stevens (music & lyrics);False
551;2022;95;RRR;Naatu Naatu;M. M. Keeravani (music);
192;1960;33;Never on Sunday;Never on Sunday;Manos Hatzidakis (music & lyrics);True
139;1951;24;Golden Girl;Never;Lionel Newman (music);
271;1973;46;Cinderella Liberty;Nice to Be Around;John Williams (music);
545;2021;94;No Time to Die;No Time to Die;Billie Eilish & Finneas O'Connell (music & lyrics);True
298;1977;50;The Spy Who Loved Me;Nobody Does It Better;Marvin Hamlisch (music);
357;1987;60;Mannequin;Nothing's Gonna Stop Us Now;Albert Hammond & Diane Warren (music & lyrics);False
91;1944;17;Up in Arms;Now I Know;Harold Arlen (music);
23;1938;11;Alexander's Ragtime Band;Now It Can Be Told;Irving Berlin (music & lyrics);False
286;1975;48;Whiffs;Now That We're in Love;George Barrie (music);
477;2008;81;Slumdog Millionaire;O... Saya;Rahman & M.I.A. (music & lyrics);True
110;1946;19;Canyon Passage;Ole Buttermilk Sky;Hoagy Carmichael (music);
108;1946;19;The Harvey Girls;On the Atchison, Topeka and the Santa Fe;Harry Warren (music);
316;1980;53;Honeysuckle Rose;On the Road Again;Willie Nelson (music & lyrics);False
322;1981;54;Ragtime;One More Hour;Randy Newman (music & lyrics);False
42;1940;13;Rhythm on the River;Only Forever;James V. Monaco (music);
503;2013;86;Mandela: Long Walk to Freedom;Ordinary Love;U2 (music);
45;1940;13;Strike Up the Band;Our Love Affair;Roger Edens & Arthur Freed (music & lyrics);False
465;2006;79;Cars;Our Town;Randy Newman (music & lyrics);False
315;1980;53;Fame;Out Here on My Own;Michael Gore (music);
49;1941;14;All-American Co-ed;Out of the Silence;Lloyd B. Norlin (music and lyrics);False
33;1939;12;The Wizard of Oz;Over the Rainbow;Harold Arlen (music);
332;1983;56;Tender Mercies;Over You;Bobby Hart & Austin Roberts (music & lyrics);False
333;1983;56;Yentl;Papa, Can You Hear Me?;Michel Legrand (music);
115;1947;20;Good News;Pass That Peace Pipe;Ralph Blane, Roger Edens & Hugh Martin (music & lyrics);False
468;2006;79;Dreamgirls;Patience;Henry Krieger (music);
62;1942;15;Flying with Music;Pennies for Peppino;Edward Ward (music);
11;1936;9;Pennies from Heaven;Pennies from Heaven;Arthur Johnston (music);
314;1980;53;The Competition;People Alone;Lalo Schifrin (music);
390;1993;66;Philadelphia;Philadelphia;Neil Young (music & lyrics);True
255;1970;43;Pieces of Dreams;Pieces of Dreams;Michel Legrand (music);
63;1942;15;Hellzapoppin' [a];Pig Foot Pete;Gene de Paul (music);
497;2012;85;Life of Pi;Pi's Lullaby;Mychael Danna (music);
201;1961;34;Pocketful of Miracles;Pocketful of Miracles;Jimmy Van Heusen (music);
371;1990;63;The Godfather Part III;Promise Me You'll Remember;Carmine Coppola (music);
168;1956;29;The Man Who Knew Too Much;Que Sera, Sera;Ray Evans & Jay Livingston (music & lyrics);True
309;1979;52;The Muppet Movie;Rainbow Connection;Kenny Ascher & Paul Williams (music & lyrics);False
246;1969;42;Butch Cassidy and the Sundance Kid;Raindrops Keep Fallin' on My Head;Burt Bacharach (music);
471;2007;80;August Rush;Raise It Up;Jamal Joseph, Charles Mack & Tevin Thomas (music & lyrics);False
301;1978;51;Foul Play;Ready to Take a Chance Again;Charles Fox (music);
492;2011;84;Rio;Real in Rio;Carlinhos Brown & Sérgio Mendes (music);
88;1944;17;Minstrel Man;Remember Me to Carolina;Harry Revel (music);
18;1937;10;Mr. Dodd Takes the Air;Remember Me;Harry Warren (music);
523;2017;90;Coco;Remember Me;Kristen Anderson-Lopez & Robert Lopez (music & lyrics);True
285;1975;48;The Other Side of the Mountain;Richard's Window;Charles Fox (music);
81;1944;17;Brazil;Rio de Janeiro;Ary Barroso (music);
385;1992;65;The Bodyguard;Run to You;Jud J. Friedman (music);
73;1943;16;Saludos Amigos;Saludos Amigos;Charles Wolcott (music);
425;1999;72;Magnolia;Save Me;Aimee Mann (music & lyrics);False
71;1943;16;Hers to Hold;Say a Pray'r for the Boys Over There;Jimmy McHugh (music);
342;1985;58;White Nights;Say You, Say Me;Lionel Richie (music & lyrics);True
449;2003;76;Cold Mountain;Scarlet Tide;T Bone Burnett & Elvis Costello (music & lyrics);False
207;1962;35;Two for the Seesaw;Second Chance;André Previn (music);
150;1953;26;Calamity Jane;Secret Love;Sammy Fain (music);
346;1985;58;White Nights;Separate Lives;Stephen Bishop (music & lyrics);True
355;1987;60;Beverly Hills Cop II;Shakedown;Harold Faltermeyer & Keith Forsey (music);
529;2018;91;A Star Is Born;Shallow;Lady Gaga, Mark Ronson, Anthony Rossomando & Andrew Wyatt (music & lyrics);True
86;1944;17;Lady, Let's Dance;Silver Shadows and Golden Dreams;Lew Pollack (music);
